식별자,기관명,기관유형,관할지원청,학교급,주소,위도,경도,사용자정의_메모
qa-pregeo-040,QA 사전좌표 040 imported,imported,east,,인천광역시 QA구 사전좌표로 40,37.328310,126.521730,synthetic-pregeocoded-east-imported
qa-pregeo-041,QA 사전좌표 041 school,school,west,특수학교,인천광역시 QA구 사전좌표로 41,37.332410,126.526930,synthetic-pregeocoded-west-school
qa-pregeo-042,QA 사전좌표 042 headquarters,headquarters,unassigned,,인천광역시 QA구 사전좌표로 42,37.336510,126.532130,synthetic-pregeocoded-unassigned-headquarters
qa-pregeo-043,QA 사전좌표 043 support-office,support-office,main,,인천광역시 QA구 사전좌표로 43,37.340610,126.537330,synthetic-pregeocoded-main-support-office
qa-pregeo-044,QA 사전좌표 044 direct-agency,direct-agency,ganghwa,,인천광역시 QA구 사전좌표로 44,37.344710,126.542530,synthetic-pregeocoded-ganghwa-direct-agency
qa-pregeo-045,QA 사전좌표 045 library,library,south,,인천광역시 QA구 사전좌표로 45,37.348810,126.547730,synthetic-pregeocoded-south-library
qa-pregeo-046,QA 사전좌표 046 experience-site,experience-site,north,,인천광역시 QA구 사전좌표로 46,37.352910,126.552930,synthetic-pregeocoded-north-experience-site
qa-pregeo-047,QA 사전좌표 047 partner,partner,east,,인천광역시 QA구 사전좌표로 47,37.357010,126.558130,synthetic-pregeocoded-east-partner
qa-pregeo-048,QA 사전좌표 048 imported,imported,west,,인천광역시 QA구 사전좌표로 48,37.361110,126.563330,synthetic-pregeocoded-west-imported
qa-pregeo-049,QA 사전좌표 049 school,school,unassigned,유치원,인천광역시 QA구 사전좌표로 49,37.365210,126.568530,synthetic-pregeocoded-unassigned-school
qa-pregeo-050,QA 사전좌표 050 headquarters,headquarters,main,,인천광역시 QA구 사전좌표로 50,37.369310,126.573730,synthetic-pregeocoded-main-headquarters
qa-pregeo-051,QA 사전좌표 051 support-office,support-office,ganghwa,,인천광역시 QA구 사전좌표로 51,37.373410,126.578930,synthetic-pregeocoded-ganghwa-support-office
qa-pregeo-052,QA 사전좌표 052 direct-agency,direct-agency,south,,인천광역시 QA구 사전좌표로 52,37.377510,126.584130,synthetic-pregeocoded-south-direct-agency
qa-pregeo-053,QA 사전좌표 053 library,library,north,,인천광역시 QA구 사전좌표로 53,37.381610,126.589330,synthetic-pregeocoded-north-library
qa-pregeo-054,QA 사전좌표 054 experience-site,experience-site,east,,인천광역시 QA구 사전좌표로 54,37.385710,126.594530,synthetic-pregeocoded-east-experience-site
qa-pregeo-055,QA 사전좌표 055 partner,partner,west,,인천광역시 QA구 사전좌표로 55,37.389810,126.599730,synthetic-pregeocoded-west-partner
qa-pregeo-056,QA 사전좌표 056 imported,imported,unassigned,,인천광역시 QA구 사전좌표로 56,37.393910,126.604930,synthetic-pregeocoded-unassigned-imported
qa-pregeo-057,QA 사전좌표 057 school,school,main,중학교,인천광역시 QA구 사전좌표로 57,37.398010,126.610130,synthetic-pregeocoded-main-school
qa-pregeo-058,QA 사전좌표 058 headquarters,headquarters,ganghwa,,인천광역시 QA구 사전좌표로 58,37.402110,126.615330,synthetic-pregeocoded-ganghwa-headquarters
qa-pregeo-059,QA 사전좌표 059 support-office,support-office,south,,인천광역시 QA구 사전좌표로 59,37.406210,126.620530,synthetic-pregeocoded-south-support-office
qa-pregeo-060,QA 사전좌표 060 direct-agency,direct-agency,north,,인천광역시 QA구 사전좌표로 60,37.410310,126.625730,synthetic-pregeocoded-north-direct-agency
qa-pregeo-061,QA 사전좌표 061 library,library,east,,인천광역시 QA구 사전좌표로 61,37.414410,126.630930,synthetic-pregeocoded-east-library
qa-pregeo-062,QA 사전좌표 062 experience-site,experience-site,west,,인천광역시 QA구 사전좌표로 62,37.418510,126.636130,synthetic-pregeocoded-west-experience-site
qa-pregeo-063,QA 사전좌표 063 partner,partner,unassigned,,인천광역시 QA구 사전좌표로 63,37.422610,126.480260,synthetic-pregeocoded-unassigned-partner
qa-pregeo-064,QA 사전좌표 064 imported,imported,main,,인천광역시 QA구 사전좌표로 64,37.426710,126.485460,synthetic-pregeocoded-main-imported
qa-pregeo-065,QA 사전좌표 065 school,school,ganghwa,특수학교,인천광역시 QA구 사전좌표로 65,37.430810,126.490660,synthetic-pregeocoded-ganghwa-school
qa-pregeo-066,QA 사전좌표 066 headquarters,headquarters,south,,인천광역시 QA구 사전좌표로 66,37.434910,126.495860,synthetic-pregeocoded-south-headquarters
qa-pregeo-067,QA 사전좌표 067 support-office,support-office,north,,인천광역시 QA구 사전좌표로 67,37.439010,126.501060,synthetic-pregeocoded-north-support-office
qa-pregeo-068,QA 사전좌표 068 direct-agency,direct-agency,east,,인천광역시 QA구 사전좌표로 68,37.443110,126.506260,synthetic-pregeocoded-east-direct-agency
qa-pregeo-069,QA 사전좌표 069 library,library,west,,인천광역시 QA구 사전좌표로 69,37.447210,126.511460,synthetic-pregeocoded-west-library
qa-pregeo-070,QA 사전좌표 070 experience-site,experience-site,unassigned,,인천광역시 QA구 사전좌표로 70,37.451310,126.516660,synthetic-pregeocoded-unassigned-experience-site
qa-pregeo-071,QA 사전좌표 071 partner,partner,main,,인천광역시 QA구 사전좌표로 71,37.455410,126.521860,synthetic-pregeocoded-main-partner
qa-pregeo-072,QA 사전좌표 072 imported,imported,ganghwa,,인천광역시 QA구 사전좌표로 72,37.459510,126.527060,synthetic-pregeocoded-ganghwa-imported
qa-pregeo-073,QA 사전좌표 073 school,school,south,유치원,인천광역시 QA구 사전좌표로 73,37.463610,126.532260,synthetic-pregeocoded-south-school
qa-pregeo-074,QA 사전좌표 074 headquarters,headquarters,north,,인천광역시 QA구 사전좌표로 74,37.467710,126.537460,synthetic-pregeocoded-north-headquarters
qa-pregeo-075,QA 사전좌표 075 support-office,support-office,east,,인천광역시 QA구 사전좌표로 75,37.320220,126.542660,synthetic-pregeocoded-east-support-office
qa-pregeo-076,QA 사전좌표 076 direct-agency,direct-agency,west,,인천광역시 QA구 사전좌표로 76,37.324320,126.547860,synthetic-pregeocoded-west-direct-agency
qa-pregeo-077,QA 사전좌표 077 library,library,unassigned,,인천광역시 QA구 사전좌표로 77,37.328420,126.553060,synthetic-pregeocoded-unassigned-library
qa-pregeo-078,QA 사전좌표 078 experience-site,experience-site,main,,인천광역시 QA구 사전좌표로 78,37.332520,126.558260,synthetic-pregeocoded-main-experience-site
qa-pregeo-079,QA 사전좌표 079 partner,partner,ganghwa,,인천광역시 QA구 사전좌표로 79,37.336620,126.563460,synthetic-pregeocoded-ganghwa-partner
qa-pregeo-080,QA 사전좌표 080 imported,imported,south,,인천광역시 QA구 사전좌표로 80,37.340720,126.568660,synthetic-pregeocoded-south-imported
qa-pregeo-081,QA 사전좌표 081 school,school,north,중학교,인천광역시 QA구 사전좌표로 81,37.344820,126.573860,synthetic-pregeocoded-north-school
qa-pregeo-082,QA 사전좌표 082 headquarters,headquarters,east,,인천광역시 QA구 사전좌표로 82,37.348920,126.579060,synthetic-pregeocoded-east-headquarters
qa-pregeo-083,QA 사전좌표 083 support-office,support-office,west,,인천광역시 QA구 사전좌표로 83,37.353020,126.584260,synthetic-pregeocoded-west-support-office
qa-pregeo-084,QA 사전좌표 084 direct-agency,direct-agency,unassigned,,인천광역시 QA구 사전좌표로 84,37.357120,126.589460,synthetic-pregeocoded-unassigned-direct-agency
qa-pregeo-085,QA 사전좌표 085 library,library,main,,인천광역시 QA구 사전좌표로 85,37.361220,126.594660,synthetic-pregeocoded-main-library
qa-pregeo-086,QA 사전좌표 086 experience-site,experience-site,ganghwa,,인천광역시 QA구 사전좌표로 86,37.365320,126.599860,synthetic-pregeocoded-ganghwa-experience-site
qa-pregeo-087,QA 사전좌표 087 partner,partner,south,,인천광역시 QA구 사전좌표로 87,37.369420,126.605060,synthetic-pregeocoded-south-partner
qa-pregeo-088,QA 사전좌표 088 imported,imported,north,,인천광역시 QA구 사전좌표로 88,37.373520,126.610260,synthetic-pregeocoded-north-imported
qa-pregeo-089,QA 사전좌표 089 school,school,east,특수학교,인천광역시 QA구 사전좌표로 89,37.377620,126.615460,synthetic-pregeocoded-east-school
qa-pregeo-090,QA 사전좌표 090 headquarters,headquarters,west,,인천광역시 QA구 사전좌표로 90,37.381720,126.620660,synthetic-pregeocoded-west-headquarters
qa-pregeo-091,QA 사전좌표 091 support-office,support-office,unassigned,,인천광역시 QA구 사전좌표로 91,37.385820,126.625860,synthetic-pregeocoded-unassigned-support-office
qa-pregeo-092,QA 사전좌표 092 direct-agency,direct-agency,main,,인천광역시 QA구 사전좌표로 92,37.389920,126.631060,synthetic-pregeocoded-main-direct-agency
qa-pregeo-093,QA 사전좌표 093 library,library,ganghwa,,인천광역시 QA구 사전좌표로 93,37.394020,126.636260,synthetic-pregeocoded-ganghwa-library
qa-pregeo-094,QA 사전좌표 094 experience-site,experience-site,south,,인천광역시 QA구 사전좌표로 94,37.398120,126.480390,synthetic-pregeocoded-south-experience-site
qa-pregeo-095,QA 사전좌표 095 partner,partner,north,,인천광역시 QA구 사전좌표로 95,37.402220,126.485590,synthetic-pregeocoded-north-partner
qa-pregeo-096,QA 사전좌표 096 imported,imported,east,,인천광역시 QA구 사전좌표로 96,37.406320,126.490790,synthetic-pregeocoded-east-imported
qa-pregeo-097,QA 사전좌표 097 school,school,west,유치원,인천광역시 QA구 사전좌표로 97,37.410420,126.495990,synthetic-pregeocoded-west-school
qa-pregeo-098,QA 사전좌표 098 headquarters,headquarters,unassigned,,인천광역시 QA구 사전좌표로 98,37.414520,126.501190,synthetic-pregeocoded-unassigned-headquarters
qa-pregeo-099,QA 사전좌표 099 support-office,support-office,main,,인천광역시 QA구 사전좌표로 99,37.418620,126.506390,synthetic-pregeocoded-main-support-office
qa-pregeo-100,QA 사전좌표 100 direct-agency,direct-agency,ganghwa,,인천광역시 QA구 사전좌표로 100,37.422720,126.511590,synthetic-pregeocoded-ganghwa-direct-agency
qa-pregeo-101,QA 사전좌표 101 library,library,south,,인천광역시 QA구 사전좌표로 101,37.426820,126.516790,synthetic-pregeocoded-south-library
qa-pregeo-102,QA 사전좌표 102 experience-site,experience-site,north,,인천광역시 QA구 사전좌표로 102,37.430920,126.521990,synthetic-pregeocoded-north-experience-site
qa-pregeo-103,QA 사전좌표 103 partner,partner,east,,인천광역시 QA구 사전좌표로 103,37.435020,126.527190,synthetic-pregeocoded-east-partner
qa-pregeo-104,QA 사전좌표 104 imported,imported,west,,인천광역시 QA구 사전좌표로 104,37.439120,126.532390,synthetic-pregeocoded-west-imported
qa-pregeo-105,QA 사전좌표 105 school,school,unassigned,중학교,인천광역시 QA구 사전좌표로 105,37.443220,126.537590,synthetic-pregeocoded-unassigned-school
qa-pregeo-106,QA 사전좌표 106 headquarters,headquarters,main,,인천광역시 QA구 사전좌표로 106,37.447320,126.542790,synthetic-pregeocoded-main-headquarters
qa-pregeo-107,QA 사전좌표 107 support-office,support-office,ganghwa,,인천광역시 QA구 사전좌표로 107,37.451420,126.547990,synthetic-pregeocoded-ganghwa-support-office
qa-pregeo-108,QA 사전좌표 108 direct-agency,direct-agency,south,,인천광역시 QA구 사전좌표로 108,37.455520,126.553190,synthetic-pregeocoded-south-direct-agency
qa-pregeo-109,QA 사전좌표 109 library,library,north,,인천광역시 QA구 사전좌표로 109,37.459620,126.558390,synthetic-pregeocoded-north-library
qa-pregeo-110,QA 사전좌표 110 experience-site,experience-site,east,,인천광역시 QA구 사전좌표로 110,37.463720,126.563590,synthetic-pregeocoded-east-experience-site
qa-pregeo-111,QA 사전좌표 111 partner,partner,west,,인천광역시 QA구 사전좌표로 111,37.467820,126.568790,synthetic-pregeocoded-west-partner
qa-pregeo-112,QA 사전좌표 112 imported,imported,unassigned,,인천광역시 QA구 사전좌표로 112,37.320330,126.573990,synthetic-pregeocoded-unassigned-imported
qa-pregeo-113,QA 사전좌표 113 school,school,main,특수학교,인천광역시 QA구 사전좌표로 113,37.324430,126.579190,synthetic-pregeocoded-main-school
qa-pregeo-114,QA 사전좌표 114 headquarters,headquarters,ganghwa,,인천광역시 QA구 사전좌표로 114,37.328530,126.584390,synthetic-pregeocoded-ganghwa-headquarters
qa-pregeo-115,QA 사전좌표 115 support-office,support-office,south,,인천광역시 QA구 사전좌표로 115,37.332630,126.589590,synthetic-pregeocoded-south-support-office
qa-pregeo-116,QA 사전좌표 116 direct-agency,direct-agency,north,,인천광역시 QA구 사전좌표로 116,37.336730,126.594790,synthetic-pregeocoded-north-direct-agency
qa-pregeo-117,QA 사전좌표 117 library,library,east,,인천광역시 QA구 사전좌표로 117,37.340830,126.599990,synthetic-pregeocoded-east-library
qa-pregeo-118,QA 사전좌표 118 experience-site,experience-site,west,,인천광역시 QA구 사전좌표로 118,37.344930,126.605190,synthetic-pregeocoded-west-experience-site
qa-pregeo-119,QA 사전좌표 119 partner,partner,unassigned,,인천광역시 QA구 사전좌표로 119,37.349030,126.610390,synthetic-pregeocoded-unassigned-partner
qa-pregeo-120,QA 사전좌표 120 imported,imported,main,,인천광역시 QA구 사전좌표로 120,37.353130,126.615590,synthetic-pregeocoded-main-imported
qa-pregeo-121,QA 사전좌표 121 school,school,ganghwa,유치원,인천광역시 QA구 사전좌표로 121,37.357230,126.620790,synthetic-pregeocoded-ganghwa-school
qa-pregeo-122,QA 사전좌표 122 headquarters,headquarters,south,,인천광역시 QA구 사전좌표로 122,37.361330,126.625990,synthetic-pregeocoded-south-headquarters
qa-pregeo-123,QA 사전좌표 123 support-office,support-office,north,,인천광역시 QA구 사전좌표로 123,37.365430,126.631190,synthetic-pregeocoded-north-support-office
qa-pregeo-124,QA 사전좌표 124 direct-agency,direct-agency,east,,인천광역시 QA구 사전좌표로 124,37.369530,126.636390,synthetic-pregeocoded-east-direct-agency
qa-pregeo-125,QA 사전좌표 125 library,library,west,,인천광역시 QA구 사전좌표로 125,37.373630,126.480520,synthetic-pregeocoded-west-library
qa-pregeo-126,QA 사전좌표 126 experience-site,experience-site,unassigned,,인천광역시 QA구 사전좌표로 126,37.377730,126.485720,synthetic-pregeocoded-unassigned-experience-site
qa-pregeo-127,QA 사전좌표 127 partner,partner,main,,인천광역시 QA구 사전좌표로 127,37.381830,126.490920,synthetic-pregeocoded-main-partner
qa-pregeo-128,QA 사전좌표 128 imported,imported,ganghwa,,인천광역시 QA구 사전좌표로 128,37.385930,126.496120,synthetic-pregeocoded-ganghwa-imported
qa-pregeo-129,QA 사전좌표 129 school,school,south,중학교,인천광역시 QA구 사전좌표로 129,37.390030,126.501320,synthetic-pregeocoded-south-school
qa-pregeo-130,QA 사전좌표 130 headquarters,headquarters,north,,인천광역시 QA구 사전좌표로 130,37.394130,126.506520,synthetic-pregeocoded-north-headquarters
qa-pregeo-131,QA 사전좌표 131 support-office,support-office,east,,인천광역시 QA구 사전좌표로 131,37.398230,126.511720,synthetic-pregeocoded-east-support-office
qa-pregeo-132,QA 사전좌표 132 direct-agency,direct-agency,west,,인천광역시 QA구 사전좌표로 132,37.402330,126.516920,synthetic-pregeocoded-west-direct-agency
qa-pregeo-133,QA 사전좌표 133 library,library,unassigned,,인천광역시 QA구 사전좌표로 133,37.406430,126.522120,synthetic-pregeocoded-unassigned-library
qa-pregeo-134,QA 사전좌표 134 experience-site,experience-site,main,,인천광역시 QA구 사전좌표로 134,37.410530,126.527320,synthetic-pregeocoded-main-experience-site
qa-pregeo-135,QA 사전좌표 135 partner,partner,ganghwa,,인천광역시 QA구 사전좌표로 135,37.414630,126.532520,synthetic-pregeocoded-ganghwa-partner
qa-pregeo-136,QA 사전좌표 136 imported,imported,south,,인천광역시 QA구 사전좌표로 136,37.418730,126.537720,synthetic-pregeocoded-south-imported
qa-pregeo-137,QA 사전좌표 137 school,school,north,특수학교,인천광역시 QA구 사전좌표로 137,37.422830,126.542920,synthetic-pregeocoded-north-school
qa-pregeo-138,QA 사전좌표 138 headquarters,headquarters,east,,인천광역시 QA구 사전좌표로 138,37.426930,126.548120,synthetic-pregeocoded-east-headquarters
qa-pregeo-139,QA 사전좌표 139 support-office,support-office,west,,인천광역시 QA구 사전좌표로 139,37.431030,126.553320,synthetic-pregeocoded-west-support-office
qa-pregeo-140,QA 사전좌표 140 direct-agency,direct-agency,unassigned,,인천광역시 QA구 사전좌표로 140,37.435130,126.558520,synthetic-pregeocoded-unassigned-direct-agency
qa-pregeo-141,QA 사전좌표 141 library,library,main,,인천광역시 QA구 사전좌표로 141,37.439230,126.563720,synthetic-pregeocoded-main-library
qa-pregeo-142,QA 사전좌표 142 experience-site,experience-site,ganghwa,,인천광역시 QA구 사전좌표로 142,37.443330,126.568920,synthetic-pregeocoded-ganghwa-experience-site
qa-pregeo-143,QA 사전좌표 143 partner,partner,south,,인천광역시 QA구 사전좌표로 143,37.447430,126.574120,synthetic-pregeocoded-south-partner
qa-pregeo-144,QA 사전좌표 144 imported,imported,north,,인천광역시 QA구 사전좌표로 144,37.451530,126.579320,synthetic-pregeocoded-north-imported
qa-pregeo-145,QA 사전좌표 145 school,school,east,유치원,인천광역시 QA구 사전좌표로 145,37.455630,126.584520,synthetic-pregeocoded-east-school
qa-pregeo-146,QA 사전좌표 146 headquarters,headquarters,west,,인천광역시 QA구 사전좌표로 146,37.459730,126.589720,synthetic-pregeocoded-west-headquarters
qa-pregeo-147,QA 사전좌표 147 support-office,support-office,unassigned,,인천광역시 QA구 사전좌표로 147,37.463830,126.594920,synthetic-pregeocoded-unassigned-support-office
qa-pregeo-148,QA 사전좌표 148 direct-agency,direct-agency,main,,인천광역시 QA구 사전좌표로 148,37.467930,126.600120,synthetic-pregeocoded-main-direct-agency
qa-pregeo-149,QA 사전좌표 149 library,library,ganghwa,,인천광역시 QA구 사전좌표로 149,37.320440,126.605320,synthetic-pregeocoded-ganghwa-library
qa-pregeo-150,QA 사전좌표 150 experience-site,experience-site,south,,인천광역시 QA구 사전좌표로 150,37.324540,126.610520,synthetic-pregeocoded-south-experience-site
qa-pregeo-151,QA 사전좌표 151 partner,partner,north,,인천광역시 QA구 사전좌표로 151,37.328640,126.615720,synthetic-pregeocoded-north-partner
qa-pregeo-152,QA 사전좌표 152 imported,imported,east,,인천광역시 QA구 사전좌표로 152,37.332740,126.620920,synthetic-pregeocoded-east-imported
qa-pregeo-153,QA 사전좌표 153 school,school,west,중학교,인천광역시 QA구 사전좌표로 153,37.336840,126.626120,synthetic-pregeocoded-west-school
qa-pregeo-154,QA 사전좌표 154 headquarters,headquarters,unassigned,,인천광역시 QA구 사전좌표로 154,37.340940,126.631320,synthetic-pregeocoded-unassigned-headquarters
qa-pregeo-155,QA 사전좌표 155 support-office,support-office,main,,인천광역시 QA구 사전좌표로 155,37.345040,126.636520,synthetic-pregeocoded-main-support-office
qa-pregeo-156,QA 사전좌표 156 direct-agency,direct-agency,ganghwa,,인천광역시 QA구 사전좌표로 156,37.349140,126.480650,synthetic-pregeocoded-ganghwa-direct-agency
qa-pregeo-157,QA 사전좌표 157 library,library,south,,인천광역시 QA구 사전좌표로 157,37.353240,126.485850,synthetic-pregeocoded-south-library
qa-pregeo-158,QA 사전좌표 158 experience-site,experience-site,north,,인천광역시 QA구 사전좌표로 158,37.357340,126.491050,synthetic-pregeocoded-north-experience-site
qa-pregeo-159,QA 사전좌표 159 partner,partner,east,,인천광역시 QA구 사전좌표로 159,37.361440,126.496250,synthetic-pregeocoded-east-partner
qa-pregeo-160,QA 사전좌표 160 imported,imported,west,,인천광역시 QA구 사전좌표로 160,37.365540,126.501450,synthetic-pregeocoded-west-imported
qa-pregeo-161,QA 사전좌표 161 school,school,unassigned,특수학교,인천광역시 QA구 사전좌표로 161,37.369640,126.506650,synthetic-pregeocoded-unassigned-school
qa-pregeo-162,QA 사전좌표 162 headquarters,headquarters,main,,인천광역시 QA구 사전좌표로 162,37.373740,126.511850,synthetic-pregeocoded-main-headquarters
qa-pregeo-163,QA 사전좌표 163 support-office,support-office,ganghwa,,인천광역시 QA구 사전좌표로 163,37.377840,126.517050,synthetic-pregeocoded-ganghwa-support-office
qa-pregeo-164,QA 사전좌표 164 direct-agency,direct-agency,south,,인천광역시 QA구 사전좌표로 164,37.381940,126.522250,synthetic-pregeocoded-south-direct-agency
qa-pregeo-165,QA 사전좌표 165 library,library,north,,인천광역시 QA구 사전좌표로 165,37.386040,126.527450,synthetic-pregeocoded-north-library
qa-pregeo-166,QA 사전좌표 166 experience-site,experience-site,east,,인천광역시 QA구 사전좌표로 166,37.390140,126.532650,synthetic-pregeocoded-east-experience-site
qa-pregeo-167,QA 사전좌표 167 partner,partner,west,,인천광역시 QA구 사전좌표로 167,37.394240,126.537850,synthetic-pregeocoded-west-partner
qa-pregeo-168,QA 사전좌표 168 imported,imported,unassigned,,인천광역시 QA구 사전좌표로 168,37.398340,126.543050,synthetic-pregeocoded-unassigned-imported
qa-pregeo-169,QA 사전좌표 169 school,school,main,유치원,인천광역시 QA구 사전좌표로 169,37.402440,126.548250,synthetic-pregeocoded-main-school
qa-pregeo-170,QA 사전좌표 170 headquarters,headquarters,ganghwa,,인천광역시 QA구 사전좌표로 170,37.406540,126.553450,synthetic-pregeocoded-ganghwa-headquarters
qa-pregeo-171,QA 사전좌표 171 support-office,support-office,south,,인천광역시 QA구 사전좌표로 171,37.410640,126.558650,synthetic-pregeocoded-south-support-office
qa-pregeo-172,QA 사전좌표 172 direct-agency,direct-agency,north,,인천광역시 QA구 사전좌표로 172,37.414740,126.563850,synthetic-pregeocoded-north-direct-agency
